EntryID,NameID,Timestamp,WhatGenreOfMusicMostAccuratelyDescribesThisArtistProject,ReleaseDate,StreamsLast28Days,ListenersLast28Days,SavesLast28Days,PlaylistAddsLast28Days,StreamsLast7Days,ListenersLast7Days,SavesLast7Days,PlaylistAddsLast7Days,StreamsAllTime,RadioStreamsLast28Days,DiscoverWeeklyStreamsLast28Days,ReleaseRadarStreamsLast28Days,RadioStreamsLast7Days,DiscoverWeeklyStreamsLast7Days,ReleaseRadarStreamsLast7Days,CurrentSpotifyFollowers,PopularityIndex,WhatIsTheDominantWayThisArtistHasPromotedThisSong,ReleaseConsistency,HowManySongsDoYouHaveInRadioRightNow,HowManySongsHasThisArtistEverReleased,AreYouIndependentOrSignedToALabel,IsThisSongOptedIntoSpotifyDiscoveryMode,ReleaseConsistencyNum,DaysSinceRelease,WeeksSinceRelease,NewRelease,PI_Category,PI_Category_2,ListenersStreamRatio28Days,ListenersStreamRatio7Days,AlgoStreams28Days,AlgoStreams7Days,NonAlgoStreams28Days,NonAlgoStreams7Days,ListenersStreamRatio28Days_adj,ListenersStreamRatio7Days_adj,SavesLast28Days_adj,PlaylistAddsLast28Days_adj,ReleasePhaseEarly
EID000,NID000,2025-03-07T08:32:33.128Z,EDM / Electronic,2025-02-21T00:00:00Z,2597,1573,318.0,198.0,1318.0,887,84.0,59.0,2597.0,525.0,0.0,20.0,362.0,0.0,12.0,52,14,Facebook / Meta Ads,5-6 weeks,1.0,1,,,5.5,14,3,yes,14-16,11-15,1.65098537825811,1.4859075535513,545.0,374.0,2052.0,944.0,1.77851856790453,1.575150815043,302.38,183.87,True
EID001,NID001,2025-03-17T13:52:47.746Z,Metal,2025-02-21T00:00:00Z,10580,3572,1280.0,551.0,3197.0,1187,221.0,118.0,10579.0,1932.0,24.0,252.0,517.0,24.0,37.0,1637,27,Facebook / Meta Ads,Over 12 weeks,8.0,8,Independent,,14.0,24,4,yes,26-29,26-30,2.96192609182531,2.69334456613311,2208.0,578.0,8372.0,2619.0,4.46854984398095,3.52782095119677,1216.7,493.77,True
EID002,NID002,2025-03-21T19:20:52.368999Z,EDM / Electronic,2024-02-11T00:00:00Z,658,491,38.0,32.0,191.0,158,18.0,6.0,9908.0,282.0,0.0,0.0,83.0,0.0,0.0,491,12,Facebook / Meta Ads,3-4 weeks,10.0,29,Independent,,3.5,404,58,no,11-13,11-15,1.34012219959267,1.20886075949367,282.0,83.0,376.0,108.0,1.37187763120965,1.14705882352941,29.92,24.69,False
EID003,NID003,2025-03-21T19:23:22.331Z,Metal,2025-03-14T00:00:00Z,321,74,23.0,33.0,321.0,74,23.0,33.0,321.0,3.0,0.0,0.0,3.0,0.0,0.0,27,7,Facebook / Meta Ads,1-2 weeks,1.0,1,Independent,,1.5,7,2,yes,6-10,6-10,4.33783783783784,4.33783783783784,3.0,3.0,318.0,318.0,4.43562231759657,4.43562231759657,22.91,32.92,True
EID004,NID004,2025-03-21T19:23:53.401Z,EDM / Electronic,2025-03-01T00:00:00Z,2956,1639,448.0,309.0,867.0,505,118.0,87.0,2956.0,781.0,0.0,466.0,166.0,0.0,54.0,3436,19,Facebook / Meta Ads,3-4 weeks,10.0,71,Independent,,3.5,20,3,yes,17-19,16-20,1.80353874313606,1.71683168316832,1247.0,220.0,1709.0,647.0,2.51408849156954,1.92691867124857,412.25,276.68,True
EID005,NID005,2025-03-21T19:24:44.116Z,Rock,2019-01-05T00:00:00Z,19536,11235,180.0,694.0,4938.0,3745,43.0,152.0,4538053.0,2645.0,372.0,0.0,746.0,113.0,0.0,8993,33,Social Media,Over 12 weeks,10.0,28,Independent,,14.0,2267,324,no,33-35,31-40,1.7388518024032,1.31855807743658,3017.0,859.0,16519.0,4079.0,1.85310437071234,1.32253398179324,93.5,615.8,False
EID006,NID006,2025-03-21T19:31:14.496Z,Rock,2024-03-22T00:00:00Z,3400,1732,33.0,89.0,750.0,520,3.0,21.0,158336.0,149.0,0.0,0.0,26.0,0.0,0.0,8993,21,Facebook / Meta Ads,Over 12 weeks,10.0,28,Independent,,14.0,364,53,no,20-21,21-25,1.96304849884527,1.44230769230769,149.0,26.0,3251.0,724.0,2.01003519452107,1.448,28.73,85.14,False
EID007,NID007,2025-03-21T19:39:30.076Z,R&B,2023-08-10T00:00:00Z,87866,28104,2010.0,1938.0,21341.0,10108,474.0,548.0,5383284.0,30803.0,1797.0,0.0,7350.0,474.0,0.0,6684,22,No promotion,5-6 weeks,38.0,38,Independent,,5.5,589,85,no,22-25,21-25,3.12645886706519,2.1112979817966,32600.0,7824.0,55266.0,13517.0,18.2572169140069,3.30526295989768,1075.38,1092.97,False
EID008,NID008,2025-03-21T19:51:15.648Z,EDM / Electronic,2024-08-16T00:00:00Z,3984,2102,55.0,145.0,907.0,651,15.0,24.0,80820.0,188.0,0.0,0.0,37.0,0.0,0.0,524,22,Facebook / Meta Ads,5-6 weeks,10.0,37,Independent,,5.5,217,32,no,22-25,21-25,1.895337773549,1.39324116743472,188.0,37.0,3796.0,870.0,1.93932248683487,1.39750401581614,49.61,140.13,False
EID009,NID009,2025-03-21T19:52:16.647Z,Hip-Hop,2023-12-29T00:00:00Z,27006,13414,900.0,305.0,6546.0,4276,213.0,87.0,600481.0,12281.0,0.0,0.0,2924.0,0.0,0.0,2654,34,Facebook / Meta Ads,Over 12 weeks,,61,Independent,,14.0,448,65,no,33-35,31-40,2.01326971820486,1.53086997193639,12281.0,2924.0,14725.0,3622.0,3.71180097727449,1.78708061332928,547.91,-13.34,False
EID010,NID010,2025-03-21T19:56:20.788Z,Hip-Hop,2023-07-13T00:00:00Z,13393,7454,188.0,135.0,3260.0,2365,50.0,26.0,420971.0,6524.0,0.0,0.0,1542.0,0.0,0.0,2654,31,No promotion,Over 12 weeks,,61,Independent,,14.0,617,89,no,30-32,31-40,1.79675342098202,1.3784355179704,6524.0,1542.0,6869.0,1718.0,2.82032088939423,1.4573572593801,0.96,-34.11,False
